id_handwritting,id_writer,class
b05-088-05,10005,4
b05-088-06,10005,4
b05-088-07,10005,4
b05-088-08,10005,4
b05-088-09,10005,4
c01-066-01,10005,4
c01-066-02,10005,4
c01-066-03,10005,4
c01-066-04,10005,4
c01-066-05,10005,4
c01-066-06,10005,4
c01-066-07,10005,4
f07-101a-01,10005,4
f07-101a-02,10005,4
f07-101a-03,10005,4
f07-101a-04,10005,4
f07-101a-05,10005,4
f07-101a-06,10005,4
f07-101a-07,10005,4
f07-101a-08,10005,4
h02-017-01,10005,4
h02-017-02,10005,4
h02-017-03,10005,4
h02-017-04,10005,4
h02-017-05,10005,4
h02-017-06,10005,4
h02-017-07,10005,4
h02-017-08,10005,4
a04-077-01,10006,5
a04-077-02,10006,5
a04-077-03,10006,5
a04-077-04,10006,5
a04-077-05,10006,5
a04-077-06,10006,5
a04-077-07,10006,5
a06-014-01,10006,5
a06-014-02,10006,5
a06-014-03,10006,5
a06-014-04,10006,5
a06-014-05,10006,5
a06-014-06,10006,5
a06-014-07,10006,5
a06-014-08,10006,5
a06-014-09,10006,5
b06-019-01,10006,5
b06-019-02,10006,5
b06-019-03,10006,5
b06-019-04,10006,5
b06-019-05,10006,5
b06-019-06,10006,5
b06-032-01,10006,5
b06-032-02,10006,5
b06-032-03,10006,5
b06-032-04,10006,5
b06-032-05,10006,5
b06-032-06,10006,5
b06-032-07,10006,5
b06-032-08,10006,5
b06-032-09,10006,5
g02-069-01,10006,5
g02-069-02,10006,5
g02-069-03,10006,5
g02-069-04,10006,5
g02-069-05,10006,5
g02-069-06,10006,5
g02-069-07,10006,5
g02-069-08,10006,5
g02-069-09,10006,5
g03-000-01,10006,5
g03-000-02,10006,5
g03-000-03,10006,5
g03-000-04,10006,5
g03-000-05,10006,5
g03-000-06,10006,5
g03-000-07,10006,5
g03-000-08,10006,5
j01-049-01,10006,5
j01-049-02,10006,5
j01-049-03,10006,5
j01-049-04,10006,5
j01-049-05,10006,5
j01-049-06,10006,5
a02-050-01,10007,6
a02-050-02,10007,6
a02-050-03,10007,6
a02-050-04,10007,6
a02-050-05,10007,6
a02-050-06,10007,6
a02-050-07,10007,6
a02-050-08,10007,6
a03-023-01,10007,6
a03-023-02,10007,6
a03-023-03,10007,6
a03-023-04,10007,6
a03-023-05,10007,6
a03-023-06,10007,6
c02-035-01,10007,6
c02-035-02,10007,6
c02-035-03,10007,6
c02-035-04,10007,6
c02-035-05,10007,6
c02-035-06,10007,6
c02-035-07,10007,6
c04-061-01,10007,6
c04-061-02,10007,6
c04-061-03,10007,6
c04-061-04,10007,6
c04-061-05,10007,6
c04-061-06,10007,6
c04-061-07,10007,6
d06-037-01,10007,6
d06-037-02,10007,6
d06-037-03,10007,6
d06-037-04,10007,6
d06-037-05,10007,6
d06-037-06,10007,6
d06-037-07,10007,6
f07-076a-01,10007,6
f07-076a-02,10007,6
f07-076a-03,10007,6
f07-076a-04,10007,6
f07-076a-05,10007,6
g01-022-01,10007,6
g01-022-02,10007,6
g01-022-03,10007,6
g01-022-04,10007,6
g01-022-05,10007,6
g01-022-06,10007,6
g01-022-07,10007,6
g06-000j-01,10007,6
g06-000j-02,10007,6
g06-000j-03,10007,6
g06-000j-04,10007,6
g06-000j-05,10007,6
g06-000j-06,10007,6
g06-000j-07,10007,6
c02-078-01,10008,7
c02-078-02,10008,7
c02-078-03,10008,7
c02-078-04,10008,7
c02-078-05,10008,7
c02-078-06,10008,7
c02-078-07,10008,7
c02-078-08,10008,7
c02-078-09,10008,7
c02-078-10,10008,7
e02-025-01,10008,7
e02-025-02,10008,7
e02-025-03,10008,7
e02-025-04,10008,7
e02-025-05,10008,7
e02-025-06,10008,7
e07-007-01,10008,7
e07-007-02,10008,7
e07-007-03,10008,7
e07-007-04,10008,7
e07-007-05,10008,7
e07-007-06,10008,7
e07-007-07,10008,7
e07-007-08,10008,7
e07-007-09,10008,7
e07-007-10,10008,7
f04-068-01,10008,7
f04-068-02,10008,7
f04-068-03,10008,7
f04-068-04,10008,7
f04-068-05,10008,7
f04-068-06,10008,7
f04-068-07,10008,7
f04-068-08,10008,7
f04-068-09,10008,7
f07-069-01,10008,7
f07-069-02,10008,7
f07-069-03,10008,7
f07-069-04,10008,7
f07-069-05,10008,7
f07-069-06,10008,7
f07-069-07,10008,7
f07-069-08,10008,7
f07-069-09,10008,7
f07-069-10,10008,7
f07-069-11,10008,7
f07-069-12,10008,7
g03-026-01,10008,7
g03-026-02,10008,7
g03-026-03,10008,7
g03-026-04,10008,7
g03-026-05,10008,7
g03-026-06,10008,7
g03-026-07,10008,7
g03-026-08,10008,7
g03-026-09,10008,7
g06-000f-01,10008,7
g06-000f-02,10008,7
g06-000f-03,10008,7
g06-000f-04,10008,7
g06-000f-05,10008,7
g06-000f-06,10008,7
g06-000f-07,10008,7
g06-000f-08,10008,7
g06-000f-09,10008,7
g06-000f-10,10008,7
g06-000f-11,10008,7
g06-000f-12,10008,7
h04-057-01,10008,7
h04-057-02,10008,7
h04-057-03,10008,7
h04-057-04,10008,7
h04-057-05,10008,7
h04-057-06,10008,7
h04-057-07,10008,7
h04-057-08,10008,7
h04-057-09,10008,7
h04-057-10,10008,7
a01-003-01,10009,8
a01-003-02,10009,8
a01-003-03,10009,8
a01-003-04,10009,8
a01-003-05,10009,8
a01-003-06,10009,8
a01-003-07,10009,8
a06-020-01,10009,8
a06-020-02,10009,8
a06-020-03,10009,8
a06-020-04,10009,8
a06-020-05,10009,8
a06-020-06,10009,8
a06-020-07,10009,8
a06-020-08,10009,8
a06-020-09,10009,8
a06-110-01,10009,8
a06-110-02,10009,8
a06-110-03,10009,8
a06-110-04,10009,8
a06-110-05,10009,8
a06-119-01,10009,8
a06-119-02,10009,8
a06-119-03,10009,8
a06-119-04,10009,8
a06-119-05,10009,8
c02-000-01,10009,8
c02-000-02,10009,8
c02-000-03,10009,8
c02-000-04,10009,8
c02-000-05,10009,8
c02-000-06,10009,8
d04-117-01,10009,8
d04-117-02,10009,8
d04-117-03,10009,8
d04-117-04,10009,8
d04-117-05,10009,8
d04-117-06,10009,8
d04-117-07,10009,8
d04-117-08,10009,8
g06-000o-01,10009,8
g06-000o-02,10009,8
g06-000o-03,10009,8
g06-000o-04,10009,8
g06-000o-05,10009,8
g06-000o-06,10009,8
j01-059-01,10009,8
j01-059-02,10009,8
j01-059-03,10009,8
j01-059-04,10009,8
j01-059-05,10009,8
j01-059-06,10009,8
a04-015-01,10010,9
a04-015-02,10010,9
a04-015-03,10010,9
a04-015-04,10010,9
a04-015-05,10010,9
a04-015-06,10010,9
a04-015-07,10010,9
a04-015-08,10010,9
a04-015-09,10010,9
a04-015-10,10010,9
a04-015-11,10010,9
a04-015-12,10010,9
a04-015-13,10010,9
b05-032-01,10010,9
b05-032-02,10010,9
b05-032-03,10010,9
b05-032-04,10010,9
b05-032-05,10010,9
b05-032-06,10010,9
b05-032-07,10010,9
b05-032-08,10010,9
b05-032-09,10010,9
d04-125-01,10010,9
d04-125-02,10010,9
d04-125-03,10010,9
d04-125-04,10010,9
d04-125-05,10010,9
d04-125-06,10010,9
d04-125-07,10010,9
d04-125-08,10010,9
d04-125-09,10010,9
d04-125-10,10010,9
d04-125-11,10010,9
e04-043-01,10010,9
e04-043-02,10010,9
e04-043-03,10010,9
e04-043-04,10010,9
e04-043-05,10010,9
e04-043-06,10010,9
e04-043-07,10010,9
e04-043-08,10010,9
e04-043-09,10010,9
e04-043-10,10010,9
g02-073-01,10010,9
g02-073-02,10010,9
g02-073-03,10010,9
g02-073-04,10010,9
g02-073-05,10010,9
g02-073-06,10010,9
g02-073-07,10010,9
g02-073-08,10010,9
h02-004-01,10010,9
h02-004-02,10010,9
h02-004-03,10010,9
h02-004-04,10010,9
h02-004-05,10010,9
h02-004-06,10010,9
h02-004-07,10010,9
h02-004-08,10010,9
h02-004-09,10010,9
h02-004-10,10010,9
h02-040-01,10010,9
h02-040-02,10010,9
h02-040-03,10010,9
h02-040-04,10010,9
h02-040-05,10010,9
h02-040-06,10010,9
h02-040-07,10010,9
h02-040-08,10010,9
h02-040-09,10010,9
h07-040-01,10010,9
h07-040-02,10010,9
h07-040-03,10010,9
h07-040-04,10010,9
h07-040-05,10010,9
h07-040-06,10010,9
h07-040-07,10010,9
h07-040-08,10010,9
a01-000u-01,10011,10
a01-000u-02,10011,10
a01-000u-03,10011,10
a01-000u-04,10011,10
a01-000u-05,10011,10
a01-000u-06,10011,10
a01-053x-01,10011,10
a01-053x-02,10011,10
a01-053x-03,10011,10
a01-053x-04,10011,10
a01-053x-05,10011,10
a01-053x-06,10011,10
a01-053x-07,10011,10
a02-004-01,10011,10
a02-004-02,10011,10
a02-004-03,10011,10
a02-004-04,10011,10
a02-004-05,10011,10
a02-004-06,10011,10
c02-007-01,10011,10
c02-007-02,10011,10
c02-007-03,10011,10
c02-007-04,10011,10
c02-007-05,10011,10
c02-007-06,10011,10
c02-007-07,10011,10
d05-013-01,10011,10
d05-013-02,10011,10
d05-013-03,10011,10
d05-013-04,10011,10
d05-013-05,10011,10
d05-013-06,10011,10
d05-013-07,10011,10
d05-013-08,10011,10
g07-038-01,10011,10
g07-038-02,10011,10
g07-038-03,10011,10
g07-038-04,10011,10
g07-038-05,10011,10
g07-038-06,10011,10
g07-065-01,10011,10
g07-065-02,10011,10
g07-065-03,10011,10
g07-065-04,10011,10
g07-065-05,10011,10
g07-065-06,10011,10
g07-065-07,10011,10
h04-028-01,10011,10
h04-028-02,10011,10
h04-028-03,10011,10
h04-028-04,10011,10
h04-028-05,10011,10
b01-127-01,10012,11
b01-127-02,10012,11
b01-127-03,10012,11
b01-127-04,10012,11
b01-127-05,10012,11
b01-127-06,10012,11
b01-127-07,10012,11
b01-127-08,10012,11
c04-000-01,10012,11
c04-000-02,10012,11
c04-000-03,10012,11
c04-000-04,10012,11
c04-000-05,10012,11
c04-000-06,10012,11
c04-000-07,10012,11
c04-000-08,10012,11
c04-000-09,10012,11
c04-008-01,10012,11
c04-008-02,10012,11
c04-008-03,10012,11
c04-008-04,10012,11
c04-008-05,10012,11
c04-008-06,10012,11
c04-008-07,10012,11
c04-008-08,10012,11
c04-008-09,10012,11
e02-000-01,10012,11
e02-000-02,10012,11
e02-000-03,10012,11
e02-000-04,10012,11
e02-000-05,10012,11
e02-000-06,10012,11
e02-000-07,10012,11
e02-000-08,10012,11
f07-046b-01,10012,11
f07-046b-02,10012,11
f07-046b-03,10012,11
f07-046b-04,10012,11
f07-046b-05,10012,11
f07-046b-06,10012,11
f07-046b-07,10012,11
f07-046b-08,10012,11
f07-046b-09,10012,11
g04-055-01,10012,11
g04-055-02,10012,11
g04-055-03,10012,11
g04-055-04,10012,11
g04-055-05,10012,11
g04-055-06,10012,11
g04-055-07,10012,11
g04-055-08,10012,11
g04-055-09,10012,11
g06-000k-01,10012,11
g06-000k-02,10012,11
g06-000k-03,10012,11
g06-000k-04,10012,11
g06-000k-05,10012,11
g06-000k-06,10012,11
g06-000k-07,10012,11
g06-000k-08,10012,11
g06-000k-09,10012,11
j04-015-01,10012,11
j04-015-02,10012,11
j04-015-03,10012,11
j04-015-04,10012,11
j04-015-05,10012,11
j04-015-06,10012,11
j04-015-07,10012,11
j04-015-08,10012,11
j04-015-09,10012,11
a01-132-01,10014,12
a01-132-02,10014,12
a01-132-03,10014,12
a01-132-04,10014,12
a01-132-05,10014,12
a02-017-01,10014,12
a02-017-02,10014,12
a02-017-03,10014,12
a02-017-04,10014,12
a02-017-05,10014,12
a02-017-06,10014,12
a04-047-01,10014,12
a04-047-02,10014,12
a04-047-03,10014,12
a04-047-04,10014,12
a04-047-05,10014,12
a04-047-06,10014,12
a04-047-07,10014,12
c02-056-01,10014,12
c02-056-02,10014,12
c02-056-03,10014,12
c02-056-04,10014,12
c02-056-05,10014,12
c02-056-06,10014,12
f02-044-01,10014,12
f02-044-02,10014,12
f02-044-03,10014,12
f02-044-04,10014,12
f02-044-05,10014,12
f02-044-06,10014,12
f02-044-07,10014,12
f04-004-01,10014,12
f04-004-02,10014,12
f04-004-03,10014,12
f04-004-04,10014,12
f04-004-05,10014,12
f04-004-06,10014,12
f04-004-07,10014,12
g04-036-01,10014,12
g04-036-02,10014,12
g04-036-03,10014,12
g04-036-04,10014,12
g04-036-05,10014,12
g04-036-06,10014,12
g04-036-07,10014,12
h06-079-01,10014,12
h06-079-02,10014,12
h06-079-03,10014,12
h06-079-04,10014,12
h06-079-05,10014,12
h06-079-06,10014,12
a02-037-01,10015,13
a02-037-02,10015,13
a02-037-03,10015,13
a02-037-04,10015,13
a02-037-05,10015,13
a02-037-06,10015,13
a02-037-07,10015,13
a02-037-08,10015,13
a02-037-09,10015,13
a02-102-01,10015,13
a02-102-02,10015,13
a02-102-03,10015,13
a02-102-04,10015,13
a02-102-05,10015,13
a02-102-06,10015,13
b01-014-01,10015,13
b01-014-02,10015,13
b01-014-03,10015,13
b01-014-04,10015,13
b01-014-05,10015,13
b01-014-06,10015,13
b01-014-07,10015,13
b01-014-08,10015,13
b01-014-09,10015,13
d05-008-01,10015,13
d05-008-02,10015,13
d05-008-03,10015,13
d05-008-04,10015,13
d05-008-05,10015,13
d05-008-06,10015,13
d05-008-07,10015,13
d05-008-08,10015,13
e01-014-01,10015,13
e01-014-02,10015,13
e01-014-03,10015,13
e01-014-04,10015,13
e01-014-05,10015,13
e01-014-06,10015,13
e01-014-07,10015,13
e01-014-08,10015,13
f04-020-01,10015,13
f04-020-02,10015,13
f04-020-03,10015,13
f04-020-04,10015,13
f04-020-05,10015,13
f04-020-06,10015,13
f04-020-07,10015,13
f04-020-08,10015,13
f04-020-09,10015,13
f04-020-10,10015,13
f04-020-11,10015,13
f04-083-01,10015,13
f04-083-02,10015,13
f04-083-03,10015,13
f04-083-04,10015,13
f04-083-05,10015,13
f04-083-06,10015,13
f04-083-07,10015,13
f04-083-08,10015,13
f04-083-09,10015,13
h02-019-01,10015,13
h02-019-02,10015,13
h02-019-03,10015,13
h02-019-04,10015,13
h02-019-05,10015,13
h02-019-06,10015,13
h02-019-07,10015,13
h02-019-08,10015,13
h02-019-09,10015,13
h02-019-10,10015,13
a02-000-01,10017,14
a02-000-02,10017,14
a02-000-03,10017,14
a02-000-04,10017,14
a02-000-05,10017,14
a02-000-06,10017,14
a02-000-07,10017,14
a02-000-08,10017,14
a02-000-09,10017,14
a02-000-10,10017,14
a03-017-01,10017,14
a03-017-02,10017,14
a03-017-03,10017,14
a03-017-04,10017,14
a03-017-05,10017,14
a03-017-06,10017,14
a03-017-07,10017,14
a03-017-08,10017,14
a03-017-09,10017,14
a03-017-10,10017,14
b01-044-01,10017,14
b01-044-02,10017,14
b01-044-03,10017,14
b01-044-04,10017,14
b01-044-05,10017,14
b01-044-06,10017,14
b01-044-07,10017,14
b01-044-08,10017,14
b01-044-09,10017,14
b01-044-10,10017,14
b01-044-11,10017,14
b06-008-01,10017,14
b06-008-02,10017,14
b06-008-03,10017,14
b06-008-04,10017,14
b06-008-05,10017,14
b06-008-06,10017,14
b06-008-07,10017,14
b06-008-08,10017,14
b06-008-09,10017,14
e04-083-01,10017,14
e04-083-02,10017,14
e04-083-03,10017,14
e04-083-04,10017,14
e04-083-05,10017,14
e04-083-06,10017,14
e04-083-07,10017,14
e04-083-08,10017,14
e04-083-09,10017,14
f03-174-01,10017,14
f03-174-02,10017,14
f03-174-03,10017,14
f03-174-04,10017,14
f03-174-05,10017,14
f03-174-06,10017,14
f03-174-07,10017,14
f03-174-08,10017,14
f03-174-09,10017,14
f03-174-10,10017,14
g05-087-01,10017,14
g05-087-02,10017,14
g05-087-03,10017,14
g05-087-04,10017,14
g05-087-05,10017,14
g05-087-06,10017,14
g05-087-07,10017,14
g05-087-08,10017,14
g05-087-09,10017,14
g05-087-10,10017,14
j01-063-01,10017,14
j01-063-02,10017,14
j01-063-03,10017,14
j01-063-04,10017,14
j01-063-05,10017,14
j01-063-06,10017,14
j01-063-07,10017,14
j01-063-08,10017,14
j01-063-09,10017,14
j01-063-10,10017,14
b02-102-01,10018,15
b02-102-02,10018,15
b02-102-03,10018,15
b02-102-04,10018,15
b02-102-05,10018,15
b02-102-06,10018,15
b02-102-07,10018,15
b02-102-08,10018,15
b03-025-01,10018,15
b03-025-02,10018,15
b03-025-03,10018,15
b03-025-04,10018,15
b03-025-05,10018,15
b03-025-06,10018,15
b03-025-07,10018,15
b03-025-08,10018,15
b04-134-01,10018,15
b04-134-02,10018,15
b04-134-03,10018,15
b04-134-04,10018,15
b04-134-05,10018,15
b04-134-06,10018,15
b04-134-07,10018,15
b04-134-08,10018,15
c02-059-01,10018,15
c02-059-02,10018,15
c02-059-03,10018,15
c02-059-04,10018,15
c02-059-05,10018,15
c02-059-06,10018,15
c02-059-07,10018,15
d01-024-01,10018,15
d01-024-02,10018,15
d01-024-03,10018,15
d01-024-04,10018,15
d01-024-05,10018,15
d01-024-06,10018,15
d01-024-07,10018,15
d01-024-08,10018,15
d01-024-09,10018,15
d06-025-01,10018,15
d06-025-02,10018,15
d06-025-03,10018,15
d06-025-04,10018,15
d06-025-05,10018,15
d06-025-06,10018,15
d06-025-07,10018,15
e04-047-01,10018,15
e04-047-02,10018,15
e04-047-03,10018,15
e04-047-04,10018,15
e04-047-05,10018,15
e04-047-06,10018,15
e04-047-07,10018,15
e04-047-08,10018,15
e04-047-09,10018,15
e04-047-10,10018,15
h02-049-01,10018,15
h02-049-02,10018,15
h02-049-03,10018,15
h02-049-04,10018,15
h02-049-05,10018,15
h02-049-06,10018,15
h02-049-07,10018,15
h02-049-08,10018,15
h02-049-09,10018,15
h02-049-10,10018,15
h02-049-11,10018,15
b06-004-01,10019,16
b06-004-02,10019,16
b06-004-03,10019,16
b06-004-04,10019,16
b06-004-05,10019,16
b06-004-06,10019,16
b06-004-07,10019,16
b06-004-08,10019,16
b06-004-09,10019,16
b06-087-01,10019,16
b06-087-02,10019,16
b06-087-03,10019,16
b06-087-04,10019,16
b06-087-05,10019,16
b06-087-06,10019,16
b06-087-07,10019,16
b06-087-08,10019,16
d04-066-01,10019,16
d04-066-02,10019,16
d04-066-03,10019,16
d04-066-04,10019,16
d04-066-05,10019,16
d04-066-06,10019,16
d04-066-07,10019,16
d04-066-08,10019,16
d04-066-09,10019,16
e04-091-01,10019,16
e04-091-02,10019,16
e04-091-03,10019,16
e04-091-04,10019,16
e04-091-05,10019,16
e04-091-06,10019,16
e04-091-07,10019,16
e04-091-08,10019,16
f04-032-01,10019,16
f04-032-02,10019,16
f04-032-03,10019,16
f04-032-04,10019,16
f04-032-05,10019,16
f04-032-06,10019,16
f04-032-07,10019,16
f04-032-08,10019,16
f04-032-09,10019,16
f07-028b-01,10019,16
f07-028b-02,10019,16
f07-028b-03,10019,16
f07-028b-04,10019,16
f07-028b-05,10019,16
f07-028b-06,10019,16
f07-028b-07,10019,16
g01-039-01,10019,16
g01-039-02,10019,16
g01-039-03,10019,16
g01-039-04,10019,16
g01-039-05,10019,16
g01-039-06,10019,16
g01-039-07,10019,16
g01-039-08,10019,16
g01-039-09,10019,16
h04-035-01,10019,16
h04-035-02,10019,16
h04-035-03,10019,16
h04-035-04,10019,16
h04-035-05,10019,16
h04-035-06,10019,16
h04-035-07,10019,16
h04-035-08,10019,16
h04-035-09,10019,16
a02-057-01,10020,17
a02-057-02,10020,17
a02-057-03,10020,17
a02-057-04,10020,17
a02-057-05,10020,17
a02-057-06,10020,17
a02-057-07,10020,17
a02-057-08,10020,17
a03-011-01,10020,17
a03-011-02,10020,17
a03-011-03,10020,17
a03-011-04,10020,17
a03-011-05,10020,17
a03-011-06,10020,17
a03-011-07,10020,17
a03-011-08,10020,17
a03-011-09,10020,17
a03-054-01,10020,17
a03-054-02,10020,17
a03-054-03,10020,17
a03-054-04,10020,17
a03-054-05,10020,17
a03-054-06,10020,17
a03-054-07,10020,17
a03-066-01,10020,17
a03-066-02,10020,17
a03-066-03,10020,17
a03-066-04,10020,17
a03-066-05,10020,17
a03-066-06,10020,17
a03-066-07,10020,17
a03-066-08,10020,17
a03-066-09,10020,17
a06-064-01,10020,17
a06-064-02,10020,17
a06-064-03,10020,17
a06-064-04,10020,17
a06-064-05,10020,17
a06-064-06,10020,17
a06-064-07,10020,17
c02-082-01,10020,17
c02-082-02,10020,17
c02-082-03,10020,17
c02-082-04,10020,17
c02-082-05,10020,17
c02-082-06,10020,17
c02-082-07,10020,17
c02-082-08,10020,17
f02-030-01,10020,17
f02-030-02,10020,17
f02-030-03,10020,17
f02-030-04,10020,17
f02-030-05,10020,17
f02-030-06,10020,17
f02-030-07,10020,17
f02-030-08,10020,17
f02-030-09,10020,17
h01-030-01,10020,17
h01-030-02,10020,17
h01-030-03,10020,17
h01-030-04,10020,17
h01-030-05,10020,17
h01-030-06,10020,17
a01-087-01,10021,18
a01-087-02,10021,18
a01-087-03,10021,18
a01-087-04,10021,18
a01-087-05,10021,18
a01-087-06,10021,18
a03-059-01,10021,18
a03-059-02,10021,18
a03-059-03,10021,18
a03-059-04,10021,18
a03-059-05,10021,18
a03-059-06,10021,18
a06-070-01,10021,18
a06-070-02,10021,18
a06-070-03,10021,18
a06-070-04,10021,18
a06-070-05,10021,18
a06-070-06,10021,18
b05-083-01,10021,18
b05-083-02,10021,18
b05-083-03,10021,18
b05-083-04,10021,18
b05-083-05,10021,18
b05-083-06,10021,18
c04-075-01,10021,18
c04-075-02,10021,18
c04-075-03,10021,18
c04-075-04,10021,18
c04-075-05,10021,18
c04-075-06,10021,18
c04-075-07,10021,18
c04-075-08,10021,18
e04-026-01,10021,18
e04-026-02,10021,18
e04-026-03,10021,18
e04-026-04,10021,18
e04-026-05,10021,18
e04-026-06,10021,18
f02-003-01,10021,18
f02-003-02,10021,18
f02-003-03,10021,18
f02-003-04,10021,18
f02-003-05,10021,18
f02-003-06,10021,18
f02-003-07,10021,18
f04-046-01,10021,18
f04-046-02,10021,18
f04-046-03,10021,18
f04-046-04,10021,18
f04-046-05,10021,18
f04-046-06,10021,18
f04-046-07,10021,18
a02-086-01,10022,19
a02-086-02,10022,19
a02-086-03,10022,19
a02-086-04,10022,19
a02-086-05,10022,19
a02-086-06,10022,19
a02-086-07,10022,19
a02-086-08,10022,19
a02-086-09,10022,19
a03-063-01,10022,19
a03-063-02,10022,19
a03-063-03,10022,19
a03-063-04,10022,19
a03-063-05,10022,19
a03-063-06,10022,19
a03-063-07,10022,19
a03-063-08,10022,19
a03-063-09,10022,19
b05-038-01,10022,19
b05-038-02,10022,19
b05-038-03,10022,19
b05-038-04,10022,19
b05-038-05,10022,19
b05-038-06,10022,19
b05-038-07,10022,19
b05-038-08,10022,19
b05-038-09,10022,19
b05-038-10,10022,19
b05-074-01,10022,19
b05-074-02,10022,19
b05-074-03,10022,19
b05-074-04,10022,19
b05-074-05,10022,19
b05-074-06,10022,19
b05-074-07,10022,19
b05-074-08,10022,19
b05-074-09,10022,19
c03-000b-01,10022,19
c03-000b-02,10022,19
c03-000b-03,10022,19
c03-000b-04,10022,19
c03-000b-05,10022,19
c03-000b-06,10022,19
c03-000b-07,10022,19
c03-000b-08,10022,19
c03-000b-09,10022,19
c03-000b-10,10022,19
e07-112-01,10022,19
e07-112-02,10022,19
e07-112-03,10022,19
e07-112-04,10022,19
e07-112-05,10022,19
e07-112-06,10022,19
e07-112-07,10022,19
e07-112-08,10022,19
e07-112-09,10022,19
f03-182-01,10022,19
f03-182-02,10022,19
f03-182-03,10022,19
f03-182-04,10022,19
f03-182-05,10022,19
f03-182-06,10022,19
f03-182-07,10022,19
f03-182-08,10022,19
g01-004-01,10022,19
g01-004-02,10022,19
g01-004-03,10022,19
g01-004-04,10022,19
g01-004-05,10022,19
g01-004-06,10022,19
g01-004-07,10022,19
g01-004-08,10022,19
g01-004-09,10022,19
g01-004-10,10022,19
g01-004-11,10022,19
d04-047-01,10023,20
